,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,expensive_nbh
2363,93.0,38.0,1,2,Entire home/apt,0,1.0,1,125.0,1,1125,6,0
2364,97.4,68.0,1,3,Entire home/apt,2,2.0,2,165.0,3,1125,0,0
2365,66.0,96.0,5,3,Entire home/apt,1,1.0,1,108.0,4,1125,0,0
2366,100.0,91.0,1,3,Entire home/apt,1,1.0,1,120.0,3,90,21,0
2367,100.0,0.0,1,3,Entire home/apt,2,2.0,1,150.0,1,1125,0,0
2368,100.0,100.0,1,4,Entire home/apt,2,2.0,2,295.0,4,100,31,0
2369,100.0,60.0,2,2,Entire home/apt,1,1.0,1,110.0,2,1125,8,0
2370,100.0,100.0,1,5,Entire home/apt,2,2.0,2,225.0,1,5,1,0
2371,100.0,92.0,1,1,Shared room,1,1.0,1,55.0,1,60,7,0
2372,100.0,71.0,2,3,Entire home/apt,1,1.0,1,119.0,1,1125,0,0
2373,92.0,87.0,1,1,Private room,1,1.0,1,78.0,1,21,20,0
2374,90.0,100.0,1,3,Entire home/apt,1,1.0,1,139.0,2,1125,17,0
2375,100.0,94.0,12,2,Private room,1,1.0,1,85.0,2,180,18,0
2376,50.0,100.0,1,2,Entire home/apt,0,1.0,1,82.0,3,365,11,0
2377,100.0,96.0,2,9,Entire home/apt,2,2.0,6,160.0,1,1125,43,0
2378,30.0,80.0,1,4,Entire home/apt,1,1.0,1,100.0,3,50,1,0
2379,78.6,78.2,1,2,Entire home/apt,0,1.0,1,125.0,2,1125,7,0
2380,100.0,91.0,1,6,Entire home/apt,2,2.0,2,130.0,1,365,6,0
2381,94.2,100.0,1,6,Entire home/apt,2,1.0,2,150.0,2,365,15,0
2382,90.0,100.0,1,4,Entire home/apt,0,1.0,1,90.0,3,1125,1,0
2383,88.4,74.2,1,2,Entire home/apt,1,1.0,1,80.0,4,10,19,0
2384,100.0,100.0,1,3,Entire home/apt,1,1.0,1,105.0,1,1125,3,0
2385,94.0,88.4,1,3,Entire home/apt,1,1.0,1,125.0,3,1125,4,0
2386,74.0,92.0,1,2,Entire home/apt,0,1.0,1,85.0,4,1125,0,0
2387,92.0,94.0,30,5,Entire home/apt,1,1.0,3,275.0,3,1125,9,0
2388,100.0,100.0,2,1,Shared room,1,1.0,1,79.0,3,28,1,0
2389,100.0,40.0,2,1,Shared room,1,1.0,1,45.0,1,14,39,0
2390,60.0,93.0,1,2,Shared room,1,1.0,1,80.0,1,1125,9,0
2391,50.0,0.0,1,2,Entire home/apt,0,1.0,1,60.0,7,25,0,0
2392,100.0,0.0,1,3,Entire home/apt,1,1.0,1,125.0,2,4,0,0
2393,94.2,52.6,1,2,Entire home/apt,1,1.0,1,170.0,1,1125,0,0
2394,100.0,100.0,1,2,Entire home/apt,0,1.0,1,102.0,3,365,29,0
2395,100.0,100.0,1,2,Entire home/apt,1,1.0,1,120.0,2,1125,6,0
2396,100.0,98.0,1,2,Entire home/apt,0,1.0,1,115.0,1,1125,30,0
2397,99.0,98.0,222,2,Entire home/apt,1,1.0,1,117.0,3,1125,5,0
2398,50.0,67.0,1,2,Entire home/apt,1,1.0,1,125.0,1,1125,8,0
2399,100.0,89.0,2,4,Entire home/apt,2,2.0,2,199.0,1,15,0,0
2400,96.6,66.0,1,1,Private room,1,1.0,1,60.0,1,1125,0,0
2401,67.0,50.0,1,4,Entire home/apt,1,1.0,1,85.0,1,1125,3,0
2402,82.0,63.0,1,2,Entire home/apt,1,1.0,2,135.0,1,1125,39,0
2403,100.0,100.0,1,2,Private room,1,1.0,1,99.0,1,1125,9,0
2404,91.0,100.0,2,2,Entire home/apt,1,1.0,1,150.0,1,1125,12,0
2405,100.0,75.0,2,2,Private room,1,1.0,1,85.0,2,30,9,0
2407,70.0,100.0,1,2,Entire home/apt,1,1.0,1,83.0,2,1125,3,0
2408,100.0,100.0,1,2,Private room,1,1.0,1,275.0,1,1125,0,0
2409,100.0,94.0,1,2,Private room,1,1.0,1,70.0,1,1125,14,0
2410,93.4,80.0,1,2,Entire home/apt,1,1.0,1,99.0,5,1125,0,0
2411,100.0,100.0,1,2,Private room,1,1.0,1,72.0,1,1125,4,0
2412,92.6,58.0,1,1,Private room,1,1.0,1,110.0,1,1125,0,0
2413,100.0,80.0,4,3,Entire home/apt,1,1.0,1,165.0,2,7,50,0
2414,98.0,80.8,4,4,Entire home/apt,1,1.0,2,159.0,1,1125,0,0
2415,90.0,67.0,4,1,Private room,1,2.0,1,89.0,1,1125,5,0
2416,100.0,100.0,1,2,Entire home/apt,0,1.0,2,99.0,2,1125,5,0
2417,93.0,77.0,2,2,Entire home/apt,1,1.0,1,130.0,2,15,4,0
2418,80.0,100.0,1,4,Entire home/apt,2,2.0,3,225.0,1,1125,1,0
2419,89.0,100.0,1,2,Entire home/apt,1,1.0,1,150.0,1,1125,4,0
2420,96.0,98.0,2,4,Entire home/apt,1,1.0,2,125.0,3,365,49,0
2421,93.0,40.0,1,2,Entire home/apt,1,1.0,1,100.0,1,1125,0,0
2422,75.0,100.0,1,2,Entire home/apt,2,1.0,2,225.0,4,1125,3,0
2423,100.0,100.0,1,2,Entire home/apt,1,1.0,1,105.0,4,10,3,0
2424,100.0,0.0,1,2,Private room,1,1.0,1,119.0,1,1125,0,0
2425,100.0,100.0,1,2,Private room,1,1.0,1,105.0,2,1125,34,0
2426,100.0,100.0,1,2,Shared room,1,1.0,1,51.0,1,1125,87,0
2427,100.0,100.0,1,4,Entire home/apt,2,1.5,2,168.0,2,28,22,0
2428,100.0,0.0,2,2,Entire home/apt,1,1.0,1,110.0,1,1125,38,0
2429,58.0,51.0,480,2,Entire home/apt,1,1.5,1,209.0,4,365,7,0
2430,66.0,96.0,5,3,Entire home/apt,1,1.0,1,100.0,10,1125,1,0
2431,100.0,100.0,1,3,Entire home/apt,1,1.0,1,102.0,2,1125,3,0
2432,100.0,86.0,1,3,Entire home/apt,1,2.0,2,200.0,1,1125,0,0
2433,100.0,50.0,1,4,Entire home/apt,0,1.0,1,75.0,4,1125,6,0
2434,78.6,79.8,1,2,Entire home/apt,1,1.0,1,127.0,14,30,0,0
2435,100.0,96.6,1,4,Entire home/apt,2,1.0,2,180.0,10,20,26,0
2436,100.0,100.0,1,3,Entire home/apt,1,1.0,1,200.0,1,1125,0,0
2437,100.0,43.0,1,2,Entire home/apt,1,1.0,1,120.0,2,1125,4,0
2438,67.0,50.0,1,1,Private room,1,1.0,1,50.0,4,1125,0,0
2439,81.0,90.0,3,2,Private room,1,1.0,1,80.0,1,1125,15,0
2440,100.0,100.0,1,2,Entire home/apt,0,1.0,1,75.0,1,1125,3,0
2441,100.0,100.0,1,6,Entire home/apt,2,1.0,3,135.0,1,1125,154,0
2442,80.0,75.0,1,3,Entire home/apt,1,1.0,1,120.0,1,1125,10,0
2443,72.4,72.2,1,2,Private room,1,1.0,1,120.0,1,1125,0,0
2444,100.0,29.0,3,2,Private room,1,1.0,1,89.0,1,1125,0,0
2445,100.0,100.0,3,4,Entire home/apt,2,1.5,3,185.0,1,31,38,0
2446,100.0,100.0,1,4,Entire home/apt,2,1.0,2,160.0,7,365,9,0
2447,100.0,85.0,4,6,Entire home/apt,2,1.0,4,189.0,1,1125,0,0
2448,67.0,67.0,1,3,Entire home/apt,1,1.0,1,99.0,2,5,15,0
2449,100.0,100.0,2,1,Private room,1,1.0,1,72.0,3,70,110,0
2450,100.0,67.0,1,4,Entire home/apt,1,1.0,1,125.0,3,1125,8,0
2451,100.0,95.0,1,2,Private room,1,1.0,1,150.0,1,1125,8,0
2452,100.0,88.8,1,4,Entire home/apt,1,1.0,1,155.0,3,365,14,0
2453,84.0,85.0,1,3,Entire home/apt,2,2.0,2,150.0,14,30,0,0
2454,78.0,94.2,1,3,Entire home/apt,0,1.0,1,80.0,1,1125,8,0
2455,100.0,70.0,4,4,Entire home/apt,1,1.0,1,110.0,1,1125,57,0
2456,99.0,98.0,222,2,Entire home/apt,1,1.0,1,130.0,3,1125,4,0
2457,100.0,96.8,1,4,Entire home/apt,1,1.0,2,99.0,2,19,35,0
2458,97.0,88.0,4,1,Private room,1,1.5,1,68.0,1,1125,27,0
2459,70.0,57.0,2,2,Private room,1,2.0,1,80.0,1,1125,6,0
2460,100.0,0.0,1,4,Private room,1,1.0,2,200.0,2,1125,0,0
2461,100.0,100.0,1,2,Private room,1,1.0,1,75.0,1,1125,10,0
2462,100.0,100.0,2,4,Private room,1,1.0,1,99.0,3,7,3,0
2463,100.0,50.0,1,4,Entire home/apt,1,1.0,1,70.0,1,6,0,0
2464,100.0,100.0,1,4,Private room,1,1.0,3,85.0,2,1125,35,0
2465,100.0,92.6,2,2,Private room,1,1.0,1,115.0,1,1125,1,0
2466,100.0,100.0,4,1,Private room,1,1.5,1,80.0,2,1125,8,0
2467,85.0,79.0,19,1,Private room,1,2.0,1,40.0,4,365,1,0
